Time,Channel A,Channel H
(ms),(V),(V)

-94.35206676,1.65791700,4.87242100
-94.34206676,1.65532300,4.86173800
-94.33206676,1.65791700,4.86723200
-94.32206677,1.65791700,4.87791500
-94.31206677,1.65791700,4.87242100
-94.30206677,1.65791700,4.87242100
-94.29206677,1.65791700,4.87242100
-94.28206677,1.66066400,4.87791500
-94.27206677,1.65791700,4.87791500
-94.26206677,1.65791700,4.87791500
-94.25206677,1.66066400,4.87791500
-94.24206677,1.65791700,4.87242100
-94.23206677,1.65532300,4.87242100
-94.22206677,1.65791700,4.87791500
-94.21206677,1.66066400,4.87791500
-94.20206677,1.65791700,4.87791500
-94.19206677,1.65791700,4.86723200
-94.18206677,1.65532300,4.86173800
-94.17206677,1.65791700,4.88340900
-94.16206677,1.65532300,4.87242100
-94.15206677,1.65532300,4.87242100
-94.14206677,1.65532300,4.87242100
-94.13206677,1.65791700,4.87791500
-94.12206677,1.65791700,4.87791500
-94.11206677,1.65791700,4.88340900
-94.10206677,1.65791700,4.88340900
-94.09206677,1.65791700,4.87242100
-94.08206677,1.65791700,4.87242100
-94.07206677,1.65532300,4.88340900
-94.06206677,1.65791700,4.87791500
-94.05206677,1.65791700,4.86723200
-94.04206677,1.65791700,4.87791500
-94.03206677,1.65791700,4.86173800
-94.02206677,1.65791700,4.87791500
-94.01206677,1.65532300,4.87791500
-94.00206677,1.65791700,4.86723200
-93.99206677,1.65532300,4.87791500
-93.98206677,1.65791700,4.87791500
-93.97206677,1.65791700,4.87791500
-93.96206677,1.65791700,4.87242100
-93.95206677,1.65791700,4.87791500
-93.94206677,1.65532300,4.86723200
-93.93206677,1.65532300,4.86723200
-93.92206678,1.65257600,4.87242100
-93.91206678,1.65791700,4.86723200
-93.90206678,1.65791700,4.87242100
-93.89206678,1.65791700,4.86723200
-93.88206678,1.65532300,4.86173800
-93.87206678,1.65532300,4.87791500
-93.86206678,1.65532300,4.87242100
-93.85206678,1.65532300,4.87791500
-93.84206678,1.65791700,4.88340900
-93.83206678,1.65257600,4.88340900
-93.82206678,1.65791700,4.87242100
-93.81206678,1.65791700,4.86723200
